target,GT-Start_Time,GT-End_Time,AN-Start_Time,AN-End_Time,Overlap
duck,6.09,6.72,6.09,6.72,1.0
fish,8.73,9.27,8.73,9.27,1.0
car,10.93,11.53,10.93,11.53,1.0
key,12.9,13.44,12.9,13.44,1.0
boat,15.26,15.83,15.26,15.83,1.0
snake,17.51,18.17,17.51,18.17,1.0
cow,19.55,20.21,19.55,20.21,1.0
frog,21.34,22.33,21.34,22.298538789241366,0.968220999233705
pig,23.96,24.44,23.96,24.44,1.0
giraffe,25.93,26.71,25.93,26.71,1.0
elephant,28.13,28.956782,28.13,28.91,0.9434167652416232
butterfly,30.47,31.28,30.47,31.2494691860009,0.9623076370381485
crab,32.57,33.102434,32.57,33.08,0.9578652001938194
dinosaur,34.65,35.4,34.65,35.4,1.0
grasshopper,59.963355,60.743622,59.955395789712924,60.80128150855399,0.9224260235401911
spiderweb,66.31,67.15,66.31,67.15,1.0
hippopotamus,68.6,69.17,68.6,69.17,1.0
hippopotamus,71.25,72.27,71.25,72.27,1.0
hippopotamus,73.48,74.59,73.48,74.59,1.0
tooth,75.82,76.48,75.82,76.48,1.0
beard,77.87,78.53,77.87,78.53,1.0
bellybutton,80.43,81.23,80.43,81.23,1.0
watch,82.77,83.37,82.77,83.3525643511006,0.970940585167654
straw,85.14,85.87,85.14,85.87,1.0
chair,87.77,88.37,87.77,88.37,1.0
leaf,93.4,94.0,93.4,94.0,1.0
cloud,95.8,96.52,95.8,96.52,1.0
mountain,98.12,98.96,98.12,98.96,1.0
shell,100.67,101.27,100.67,101.27,1.0
bag,105.09,105.75,105.09,105.75,1.0
swing,107.49,108.12,107.49,108.12,1.0
sword,109.89,110.49,109.89,110.49,1.0
wheel,112.66,113.26,112.66,113.26,1.0
yoyo,115.32,116.063625,115.32,116.39,0.694976635514022
garden,121.949562,122.56,121.95657130130851,122.56,0.9885175868662924
garden,123.97,124.63,123.97,124.59384876149423,0.9452253962033837
skirt,127.89,128.595585,127.89,128.58,0.9779119454070206
that,139.39,140.025456,139.39,139.99,0.9442038473159717
zoo,143.64,144.3,143.64,144.3,1.0
cub,148.27,148.75,148.27,148.75,1.0
mouth,153.26,153.92,153.278597447427,153.92,0.9718220493530327
head,157.22,157.67,157.22,157.67,1.0
thumb,160.28,160.82,160.28,160.82,1.0
moustache,163.63,164.561271,163.63,164.59413068207627,0.9659178131272618
voice,168.99,169.71,168.99,169.71,1.0
jam,173.305225,173.86,173.28,173.86,0.9565086206896457
food,180.32,180.86,180.32,180.86,1.0
dessert,188.420914,189.212449,188.429298955972,189.19909441541745,0.9725349598507519
tonight,196.48,197.213517,196.48,197.2,0.9815723425632845
kitchen,200.4,201.03,200.4,201.03,1.0
carpet,207.0,207.719646,207.0,207.69,0.9588047456666009
machine,210.635506,211.27861,210.57413293756477,211.32645208213762,0.8548287048645197
girl,220.95,221.55,220.95,221.55,1.0
balloon,235.04,235.67,235.04,235.67,1.0
card,239.79,240.42,239.79,240.42,1.0
circus,244.8,245.67,244.8,245.67,1.0
doll,248.32,249.01,248.32,249.01,1.0
martian,260.59,261.31,260.59,261.2887036246784,0.9704217009422468
no,265.48,265.96,265.48,265.96,1.0
yes,272.25,272.97,272.25,272.97,1.0
ride,276.71,277.320083,276.71,277.31,0.9834727405942991
story,297.31,298.09,297.31,298.09,1.0
attack,301.82,302.6,301.82,302.6,1.0
cheese,305.8,306.61,305.8,306.61,1.0
banana,310.94,311.6,310.94,311.6,1.0
watermelon,318.3,319.05,318.3,319.05,1.0
coconut,321.92,322.7088,321.92,322.7,0.9888438133874137
cucumber,327.92,328.67,327.92,328.67,1.0
potato,330.86,331.595632,330.86,331.6209097653191,0.9667795493353132
tomato,333.88,334.6,333.88,334.6,1.0
vegemite,336.47,337.394276,336.47,337.37,0.9737351180816258
bird,341.21,341.81,341.21,341.81,1.0
feather,347.29,347.86,347.29,347.86,1.0
owl,352.12,352.69,352.12,352.69,1.0
gorilla,355.99,356.62,355.99,356.62,1.0
kangaroo,358.68,359.46,358.68,359.46,1.0
crocodile,362.56,363.28,362.56,363.28,1.0
cicada,365.53,366.39,365.53,366.39,1.0
caterpillar,368.82,369.54,368.82,369.54,1.0
rhinoceros,371.91,372.96,371.91,372.96,1.0
flowerpot,395.85,396.839037,395.85,396.81,0.9706411388046992
flowerpot,397.65,398.479095,397.65,398.46,0.9769688636404837
spade,400.58,401.24,400.58,401.24,1.0
treasure,407.76,408.39,407.76,408.39,1.0
canoe,416.51,417.14,416.51,417.14,1.0
bridge,421.13,421.73,421.13,421.73,1.0
xylophone,424.74,425.58,424.74,425.58,1.0
boy,430.03,430.57,430.03,430.57,1.0
hair,433.200052,433.718051,433.15071630599493,433.8527736693822,0.7378300221804474
ear,440.22,440.637702,440.2,440.68009164750106,0.8700463800487852
nose,443.44,444.25,443.44,444.25,1.0
foot,447.35,447.86,447.35,447.86,1.0
short,454.94,455.667833,454.97349383430986,455.63,0.9020010987275298
play,460.72,461.29,460.72,461.29,1.0
ball,464.4,464.97,464.4,464.97,1.0
pool,471.19,471.79,471.19,471.79,1.0
drink,476.685263,477.48043,476.6891015011127,477.43,0.9317520708069018
drink,480.52,481.057794,480.52,481.03,0.9483185011360716
pie,484.02,484.62,484.02,484.62,1.0
sausage,488.97,489.78,488.97,489.78,1.0
