ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_dur,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_dur,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task3_dur,Task4_wav,Task4_dur,Task_5_wav,Task5_dur,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
1000,1,5,3,1,1001.671995,1,0,0,0,1,357.577007,1,0,0,0,1,175.518005,1,295.058005,1,295.958005,1,0,0,0
1001,1,5,3,1,1120.538005,1,0,0,0,1,494.960998,1,0,0,0,1,189.865986,1,297.524989,1,280.181995,1,0,0,0
1005,1,5,3,1,1445.338027,1,0,0,0,1,583.532993,1,0,0,0,1,305.872018,1,77.024014,1,355.997007,1,0,0,0
1013,1,5,3,1,1027.128980,1,0,0,0,1,296.130998,1,0,0,0,1,218.168005,1,309.521020,1,351.458005,1,0,0,0
1014,1,5,3,1,-1,1,0,0,0,1,372.732993,1,0,0,0,1,313.672993,1,3.685011,1,293.133991,1,0,0,0
1015,1,5,3,1,1744.570998,1,0,0,0,1,114.908005,1,0,0,0,1,236.468005,1,263.828005,1,145.772993,1,0,0,0
1016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,1,5,3,1,1770.819002,1,0,0,0,1,485.817007,1,0,0,0,1,177.080000,1,348.073991,1,358.681995,1,0,0,0
1025,1,5,3,1,-1,1,0,0,0,1,468.941995,1,0,0,0,1,315.393991,1,345.536009,1,341.903175,1,0,0,0
1026,1,5,3,1,1804.431020,1,0,0,0,1,373.179002,1,0,0,0,1,264.544989,1,333.575986,1,551.904989,1,0,0,0
1037,1,5,3,1,2374.404014,1,0,0,0,1,762.132993,1,0,0,0,1,450.296009,1,519.242018,1,103.408005,1,0,0,0
1042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,1,5,3,1,914.520998,1,0,0,0,1,334.925986,1,0,0,0,1,218.316009,1,315.760000,1,297.321020,1,0,0,0
1045,1,5,3,1,1313.508005,1,0,0,0,1,375.890998,1,0,0,0,1,200.211995,1,339.572993,1,358.272993,1,0,0,0
1046,1,5,3,1,1969.707007,1,0,0,0,1,392.904014,1,0,0,0,1,697.450998,1,302.764014,1,624.913991,1,0,0,0
1049,1,5,3,1,1026.652993,1,0,0,0,1,310.600000,1,0,0,0,1,286.645011,1,390.994989,1,413.936009,1,0,0,0
1050,1,5,3,1,867.607982,1,0,0,0,1,297.079002,1,0,0,0,1,219.647007,1,326.932993,1,284.105011,1,0,0,0
1052,1,5,3,1,866.148005,1,0,0,0,1,344.330998,1,0,0,0,1,209.272993,1,474.197982,1,314.077007,1,0,0,0
1056,1,5,3,1,1721.472993,1,0,0,0,1,498.754014,1,0,0,0,1,232.788005,1,441.254989,1,473.599002,1,0,0,0
1057,1,5,3,1,1770.825011,1,0,0,0,1,424.132993,1,0,0,0,1,282.630998,1,312.525986,1,454.637007,1,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,1,5,3,1,906.161995,1,0,0,0,1,426.448005,1,0,0,0,1,192.712993,1,297.409002,1,287.215011,1,0,0,0
1069,1,5,3,1,1209.912018,1,0,0,0,1,539.441995,1,0,0,0,1,213.807007,1,329.821995,1,360.058005,1,0,0,0
1070,1,5,3,1,1187.602993,1,0,0,0,1,452.247007,1,0,0,0,1,138.140998,1,319.100998,1,388.807982,1,0,0,0
1075,1,5,3,1,1212.696009,1,0,0,0,1,438.847007,1,0,0,0,1,179.360998,1,263.778005,1,270.817982,1,0,0,0
1076,1,5,3,1,1612.194989,1,0,0,0,1,404.825986,1,0,0,0,1,227.309002,1,300.492993,1,340.977007,1,0,0,0
1083,1,5,3,1,1152.241995,1,0,0,0,1,436.544989,1,0,0,0,1,176.338005,1,372.999002,1,256.336984,1,0,0,0
1092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,1,5,3,1,1046.164014,1,0,0,0,1,320.452018,1,0,0,0,1,158.076009,1,270.780998,1,247.445986,1,0,0,0
1115,1,5,3,1,1189.570998,1,0,0,0,1,398.371995,1,0,0,0,1,290.277007,1,345.288005,1,364.255011,1,0,0,0
1119,1,5,3,1,1047.912018,1,0,0,0,1,341.370998,1,0,0,0,1,198.912993,1,359.624014,1,239.146009,1,0,0,0
1120,1,5,3,1,1169.213991,1,0,0,0,1,392.975011,1,0,0,0,1,207.796984,1,335.059002,1,288.514014,1,0,0,0
1136,1,5,3,1,777.130998,1,0,0,0,1,291.020000,1,0,0,0,1,180.980000,1,407.179002,1,363.014014,1,0,0,0
1137,1,5,3,1,1072.882993,1,0,0,0,1,478.468005,1,0,0,0,1,249.760998,1,353.275011,1,280.781995,1,0,0,0
1141,1,5,3,1,1726.697007,1,0,0,0,1,676.043991,1,0,0,0,1,168.466984,1,286.820998,1,612.476009,1,0,0,0
1142,1,5,3,1,2430.930000,1,0,0,0,1,357.623991,1,0,0,0,1,160.683991,1,327.044989,1,459.123016,1,0,0,0
1143,1,5,3,1,1305.761995,1,0,0,0,1,354.591020,1,0,0,0,1,222.090998,1,463.711995,1,262.299002,1,0,0,0
1144,1,5,3,1,2578.772993,1,0,0,0,1,679.260998,1,0,0,0,1,231.479002,1,530.464014,1,593.106984,1,0,0,0
1145,1,5,3,1,1063.420998,1,0,0,0,1,395.224989,1,0,0,0,1,210.483991,1,393.928005,1,323.196009,1,0,0,0
1150,1,5,3,1,703.590998,1,0,0,0,1,764.202993,1,0,0,0,1,129.520998,1,350.649002,1,170.163991,1,0,0,0
1152,1,5,3,1,1062.378005,1,0,0,0,1,400.951995,1,0,0,0,1,135.611995,1,398.993991,1,230.734989,1,0,0,0
1153,1,5,3,1,1022.011995,1,0,0,0,1,429.920998,1,0,0,0,1,156.522018,1,326.014989,1,243.812993,1,0,0,0
1162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,1,5,3,1,1019.349002,1,0,0,0,1,311.231020,1,0,0,0,1,309.065011,1,133.130998,1,388.196984,1,0,0,0
1167,1,5,3,1,-1,1,0,0,0,1,301.250998,1,0,0,0,1,136.175011,1,287.368005,1,249.484014,1,0,0,0
1168,1,5,3,1,1048.601995,1,0,0,0,1,464.243016,1,0,0,0,1,176.961995,1,312.006984,1,370.770998,1,0,0,0
1169,1,5,3,1,1092.619002,1,0,0,0,1,346.123991,1,0,0,0,1,190.103991,1,282.084989,1,361.373991,1,0,0,0
1175,1,5,3,1,1444.219002,1,0,0,0,1,398.435011,1,0,0,0,1,146.863016,1,295.864989,1,332.224014,1,0,0,0
1176,1,5,3,1,1141.599002,1,0,0,0,1,390.797007,1,0,0,0,1,149.068005,1,328.047982,1,312.720000,1,0,0,0
1178,1,5,3,1,678.556009,1,0,0,0,1,263.704989,1,0,0,0,1,201.664014,1,238.201995,1,265.419002,1,0,0,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,1,5,3,1,794.240000,1,0,0,0,1,282.141995,1,0,0,0,1,197.111995,1,295.688980,1,287.679002,1,0,0,0
1191,1,5,3,1,826.484989,1,0,0,0,1,406.870998,1,0,0,0,1,136.750000,1,350.000000,1,272.669002,1,0,0,0
1192,1,5,3,1,1257.950000,1,0,0,0,1,407.568980,1,0,0,0,1,200.608005,1,293.061995,1,364.159002,1,0,0,0
1195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1,5,3,1,730.483016,1,0,0,0,1,272.304989,1,0,0,0,1,163.705986,1,240.810998,1,279.382993,1,0,0,0
1216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,1,5,3,1,867.492993,1,0,0,0,1,281.055011,1,0,0,0,1,158.014989,1,356.542993,1,279.383016,1,0,0,0
122,1,5,3,1,1553.849002,1,0,0,0,1,503.587982,1,0,0,0,1,281.004989,1,447.367982,1,305.828005,1,0,0,0
1221,1,5,3,1,1061.656984,1,0,0,0,1,338.050998,1,0,0,0,1,173.544989,1,357.770998,1,449.803016,1,0,0,0
1225,1,5,3,1,855.121995,1,0,0,0,1,323.236009,1,0,0,0,1,123.696984,1,227.208005,1,230.028005,1,0,0,0
1226,1,5,3,1,1017.811995,1,0,0,0,1,387.326984,1,0,0,0,1,155.686984,1,263.069002,1,359.995986,1,0,0,0
1228,1,5,3,1,853.194014,1,0,0,0,1,330.597007,1,0,0,0,1,162.237007,1,337.530998,1,264.610000,1,0,0,0
1230,1,5,3,1,1257.786009,1,0,0,0,1,362.989002,1,0,0,0,1,138.381995,1,283.300998,1,368.281995,1,0,0,0
1232,1,5,3,1,716.621995,1,0,0,0,1,279.510998,1,0,0,0,1,143.445986,1,283.965011,1,201.217007,1,0,0,0
1235,1,5,3,1,1069.846009,1,0,0,0,1,447.073991,1,0,0,0,1,149.979002,1,254.998980,1,296.614989,1,0,0,0
1236,1,5,3,1,851.181995,1,0,0,0,1,355.953991,1,0,0,0,1,145.500000,1,259.578005,1,251.260998,1,0,0,0
1237,1,5,3,1,687.608005,1,0,0,0,1,355.570998,1,0,0,0,1,143.654989,1,254.587982,1,207.400000,1,0,0,0
1240,1,5,3,1,1484.457007,1,0,0,0,1,355.012993,1,0,0,0,1,107.610998,1,461.730000,1,359.585986,1,0,0,0
1242,1,5,3,1,1132.538005,1,0,0,0,1,406.392018,1,0,0,0,1,215.667007,1,370.454014,1,195.472993,1,0,0,0
1243,1,5,3,1,1236.326009,1,0,0,0,1,294.730998,1,0,0,0,1,160.851995,1,271.205986,1,200.820998,1,0,0,0
1244,1,5,3,1,954.056009,1,0,0,0,1,396.196009,1,0,0,0,1,156.869002,1,273.226984,1,224.930998,1,0,0,0
1247,1,5,3,1,734.006009,1,0,0,0,1,288.220000,1,0,0,0,1,187.754989,1,285.815986,1,254.773991,1,0,0,0
1251,1,5,3,1,828.069002,1,0,0,0,1,293.269002,1,0,0,0,1,151.930998,1,275.710000,1,218.774014,1,0,0,0
1254,1,5,3,1,1247.815011,1,0,0,0,1,336.109002,1,0,0,0,1,211.931020,1,312.964014,1,395.869002,1,0,0,0
