ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task4_wav,Task_5_wav,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
1000,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1001,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1005,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1013,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1014,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1015,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1025,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1026,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1037,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1045,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1046,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1049,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1050,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1052,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1056,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1057,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1069,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1070,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1075,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1076,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1083,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1115,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1119,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1120,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1136,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1137,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1141,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1142,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1143,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1144,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1145,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1150,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1152,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1153,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1167,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1168,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1169,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1175,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1176,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1178,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1191,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1192,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
122,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1221,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1225,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1226,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1228,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1230,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1232,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1235,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1236,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1237,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1240,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1242,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1243,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1244,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1247,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1251,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1254,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1257,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1258,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1259,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1270,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1276,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1278,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1279,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1280,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1281,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1282,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1283,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1285,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1293,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
130,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1306,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1308,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1319,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1320,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
1344,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
135,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
176,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
177,1,5,2,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,5,2,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
190,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
191,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
193,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
199,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
203,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
205,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
208,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
211,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
212,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
218,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
220,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
221,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
222,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
228,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
229,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
230,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
231,1,5,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
232,1,5,5,1,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0
233,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
243,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
246,1,5,5,1,1,1,1,3,1,1,0,0,0,1,1,1,1,0,0,0
248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
